Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
27.36505,Left,Wrist,-0.1583412,-0.3371311,0.2749993,0.4939808,0.3175236,0.4455152,0.6757798
27.36505,Left,Left_IndexProximal,-0.1587227,-0.3070721,0.3728383,0.6185367,-0.2122077,-0.09876427,0.750084
27.36505,Left,Left_IndexIntermediate,-0.1632016,-0.298639,0.4108236,0.6241376,-0.2115153,-0.09221678,0.7464648
27.36505,Left,Left_IndexDistal,-0.1663729,-0.2935216,0.435189,0.6866838,-0.1970386,-0.100098,0.6925474
27.36505,Left,Left_IndexDistalEnd,-0.1696204,-0.2926137,0.4595661,0.6866838,-0.1970386,-0.100098,0.6925474
27.36505,Left,Left_MiddleProximal,-0.1809583,-0.309223,0.3670634,0.8903064,-0.04519904,-0.0448604,0.4508876
27.36505,Left,Left_MiddleIntermediate,-0.1827328,-0.3353473,0.4028338,0.9120857,0.2967964,-0.1777798,-0.2200141
27.36505,Left,Left_MiddleDistal,-0.1695553,-0.3560307,0.3884134,0.4838536,0.4841399,-0.1569905,-0.711933
27.36505,Left,Left_MiddleDistalEnd,-0.1638362,-0.3447668,0.3687803,0.4838536,0.4841399,-0.1569905,-0.711933
27.36505,Left,Left_PinkyProximal,-0.209672,-0.3361974,0.3481126,0.9146707,0.152593,0.01149991,0.3741137
27.36505,Left,Left_PinkyIntermediate,-0.2010891,-0.3575642,0.3699356,0.8626742,0.4387282,-0.1371495,-0.2109532
27.36505,Left,Left_PinkyDistal,-0.1864255,-0.368598,0.3597769,0.4032162,0.5590689,-0.3112147,-0.6542205
27.36505,Left,Left_PinkyDistalEnd,-0.1856173,-0.359688,0.3435623,0.4032162,0.5590689,-0.3112147,-0.6542205
27.36505,Left,Left_RingProximal,-0.1969508,-0.3208611,0.3586929,0.9290568,0.05977094,-0.003541936,0.3650602
27.36505,Left,Left_RingIntermediate,-0.1923742,-0.3501105,0.3859924,0.8708183,0.3860823,-0.1532011,-0.2629561
27.36505,Left,Left_RingDistal,-0.1761326,-0.3655766,0.3701783,0.4242764,0.5057343,-0.2400891,-0.7117445
27.36505,Left,Left_RingDistalEnd,-0.1743015,-0.3545804,0.3524318,0.4242764,0.5057343,-0.2400891,-0.7117445
27.36505,Left,Left_ThumbProximal,-0.1398807,-0.3399814,0.3233003,0.2545554,-0.4299796,-0.7921292,0.3505005
27.36505,Left,Left_ThumbIntermediate,-0.1319384,-0.3504552,0.354196,0.4426829,-0.6268596,-0.6397597,0.04226907
27.36505,Left,Left_ThumbDistal,-0.1459243,-0.3617789,0.384096,0.5488834,-0.6109319,-0.5352881,-0.1973731
27.36505,Left,Left_ThumbDistalEnd,-0.1719053,-0.3669521,0.3969803,0.5488834,-0.6109319,-0.5352881,-0.1973731
