Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
15.63444,Left,Wrist,-0.2833638,-0.3178493,0.2380877,-0.24682,0.7536141,0.557287,-0.2461245
15.63444,Left,Left_IndexProximal,-0.3262662,-0.2981519,0.3289036,0.1889583,0.6274097,0.6634303,0.3612649
15.63444,Left,Left_IndexIntermediate,-0.335754,-0.2962597,0.366857,0.17458,0.7043929,0.570287,0.3848711
15.63444,Left,Left_IndexDistal,-0.3405986,-0.2890168,0.3903938,0.1672022,0.7826021,0.4451741,0.4017435
15.63444,Left,Left_IndexDistalEnd,-0.3429608,-0.2755376,0.4108474,0.1672022,0.7826021,0.4451741,0.4017435
15.63444,Left,Left_MiddleProximal,-0.3049253,-0.3054755,0.3337337,0.1958734,0.689226,0.6386548,0.2805742
15.63444,Left,Left_MiddleIntermediate,-0.3088431,-0.3007097,0.3776325,0.1823729,0.7445205,0.5720686,0.2918347
15.63444,Left,Left_MiddleDistal,-0.3106167,-0.2927734,0.4048957,0.1622115,0.8146952,0.4693343,0.2994747
15.63444,Left,Left_MiddleDistalEnd,-0.311009,-0.280941,0.4250175,0.1622115,0.8146952,0.4693343,0.2994747
15.63444,Left,Left_PinkyProximal,-0.2628666,-0.2999254,0.3231751,0.1789699,0.7678431,0.605001,0.1111791
15.63444,Left,Left_PinkyIntermediate,-0.2584152,-0.2934571,0.3539126,0.1543719,0.8462154,0.501325,0.09360915
15.63444,Left,Left_PinkyDistal,-0.2549038,-0.2840247,0.3723154,0.1452769,0.8800423,0.4420465,0.09495153
15.63444,Left,Left_PinkyDistalEnd,-0.2517231,-0.2735248,0.3872349,0.1452768,0.8800423,0.4420465,0.09495153
15.63444,Left,Left_RingProximal,-0.2837029,-0.304219,0.3306842,0.1699393,0.7266991,0.6344055,0.2013919
15.63444,Left,Left_RingIntermediate,-0.2840468,-0.2986897,0.3705721,0.1503803,0.7793749,0.5692788,0.2142019
15.63444,Left,Left_RingDistal,-0.2843068,-0.2902757,0.3966911,0.1381689,0.8408277,0.4739513,0.2220108
15.63444,Left,Left_RingDistalEnd,-0.2838477,-0.279534,0.4146803,0.1381689,0.8408277,0.4739513,0.2220108
15.63444,Left,Left_ThumbProximal,-0.3206152,-0.2983089,0.2629941,0.1682663,0.03316058,0.5276287,0.8319829
15.63444,Left,Left_ThumbIntermediate,-0.3483717,-0.2865797,0.2778038,0.3459657,0.1268619,0.5305811,0.7633465
15.63444,Left,Left_ThumbDistal,-0.3762624,-0.2776738,0.2967944,0.3285379,0.1213759,0.5118404,0.7844431
15.63444,Left,Left_ThumbDistalEnd,-0.3975685,-0.27001,0.3156384,0.3285379,0.1213759,0.5118404,0.7844431
