Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
13.93058,Right,Wrist,0.2150259,-0.1808467,0.4490889,-0.8973437,0.1154594,-0.345411,0.2492699
13.93058,Right,Right_IndexProximal,0.1848288,-0.09438467,0.4960052,0.9146995,0.1633938,-0.3561803,-0.09881065
13.93058,Right,Right_IndexIntermediate,0.1758317,-0.05787921,0.507707,-0.9054518,-0.1728244,0.3561987,0.1530095
13.93058,Right,Right_IndexDistal,0.1706853,-0.03533596,0.5178057,0.8814174,0.1780469,-0.3629446,-0.2442836
13.93058,Right,Right_IndexDistalEnd,0.1673247,-0.01522356,0.5315834,0.8814174,0.1780469,-0.3629446,-0.2442836
13.93058,Right,Right_MiddleProximal,0.2067695,-0.09048676,0.4895613,0.9314967,0.04626001,-0.3285689,-0.149054
13.93058,Right,Right_MiddleIntermediate,0.2072934,-0.04809028,0.503291,-0.9223099,-0.0559787,0.3231543,0.2044088
13.93058,Right,Right_MiddleDistal,0.2081187,-0.02205706,0.5151104,0.9021341,0.06351581,-0.3146184,-0.2883327
13.93058,Right,Right_MiddleDistalEnd,0.2096786,-0.002781451,0.5281879,0.9021341,0.06351581,-0.3146184,-0.2883327
13.93058,Right,Right_PinkyProximal,0.247171,-0.1077774,0.4902539,0.9370578,-0.1161997,-0.2243743,-0.240992
13.93058,Right,Right_PinkyIntermediate,0.2575662,-0.08044857,0.5029951,-0.9026834,0.1119102,0.1772504,0.3757946
13.93058,Right,Right_PinkyDistal,0.264636,-0.06584489,0.5164647,0.875703,-0.103151,-0.1632885,-0.4425399
13.93058,Right,Right_PinkyDistalEnd,0.2706585,-0.05497342,0.5301939,0.875703,-0.103151,-0.1632885,-0.4425399
13.93058,Right,Right_RingProximal,0.2274759,-0.09658945,0.489087,0.9444767,-0.0204647,-0.2647702,-0.1935003
13.93058,Right,Right_RingIntermediate,0.2331892,-0.05916858,0.503446,-0.9331857,0.005448969,0.255071,0.2531286
13.93058,Right,Right_RingDistal,0.2370321,-0.03511667,0.5164033,0.9073007,0.001765801,-0.2457623,-0.3411806
13.93058,Right,Right_RingDistalEnd,0.2404794,-0.01903772,0.5293964,0.9073007,0.001765801,-0.2457623,-0.3411806
13.93058,Right,Right_ThumbProximal,0.1814172,-0.1578443,0.4767463,0.4211178,0.6053623,-0.6388527,0.219236
13.93058,Right,Right_ThumbIntermediate,0.1562651,-0.1476927,0.4968398,-0.4548006,-0.4414673,0.7622496,-0.131298
13.93058,Right,Right_ThumbDistal,0.132315,-0.1319624,0.5170853,0.464398,0.4853948,-0.7143811,0.195926
13.93058,Right,Right_ThumbDistalEnd,0.1107874,-0.1186478,0.532154,0.4643981,0.4853948,-0.714381,0.1959259
