Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
10.59965,Left,Wrist,-0.01717776,-0.3363131,0.4512681,-0.1674867,0.7044683,0.64217,-0.2515762
10.59965,Left,Left_IndexProximal,-0.04381439,-0.3250224,0.5548183,0.3664581,0.6838866,0.566182,0.2782907
10.59965,Left,Left_IndexIntermediate,-0.03615739,-0.3213072,0.5950711,0.3656156,0.6958271,0.5553317,0.271582
10.59965,Left,Left_IndexDistal,-0.03069543,-0.3182528,0.6206819,0.361262,0.7503288,0.488366,0.2607592
10.59965,Left,Left_IndexDistalEnd,-0.02362185,-0.3118057,0.6433538,0.361262,0.7503288,0.488366,0.2607592
10.59965,Left,Left_MiddleProximal,-0.02220217,-0.335993,0.5549546,0.304625,0.7262284,0.5652473,0.2455433
10.59965,Left,Left_MiddleIntermediate,-0.01452482,-0.3278255,0.6001517,0.3050244,0.7309563,0.5608323,0.2411031
10.59965,Left,Left_MiddleDistal,-0.009280462,-0.3223012,0.6290497,0.298624,0.7754768,0.5051699,0.2329445
10.59965,Left,Left_MiddleDistalEnd,-0.003962222,-0.3150346,0.6505892,0.298624,0.7754768,0.5051699,0.2329445
10.59965,Left,Left_PinkyProximal,0.02015028,-0.3338373,0.5373335,0.1788684,0.7062148,0.6594859,0.1853246
10.59965,Left,Left_PinkyIntermediate,0.02042354,-0.3316324,0.5705839,0.1763372,0.7719069,0.588052,0.1651063
10.59965,Left,Left_PinkyDistal,0.02214339,-0.3262076,0.59187,0.1790331,0.8000351,0.5493805,0.16147
10.59965,Left,Left_PinkyDistalEnd,0.02416287,-0.3200545,0.6092198,0.1790331,0.8000351,0.5493805,0.16147
10.59965,Left,Left_RingProximal,-0.0006966852,-0.3368573,0.5481914,0.2458027,0.7347738,0.5993826,0.2010699
10.59965,Left,Left_RingIntermediate,0.00438742,-0.3300617,0.5896332,0.2445201,0.74349,0.5893989,0.2001041
10.59965,Left,Left_RingDistal,0.008068863,-0.3247107,0.6177183,0.2437808,0.7856646,0.5344284,0.1941354
10.59965,Left,Left_RingDistalEnd,0.01174807,-0.3182158,0.6373012,0.2437808,0.7856646,0.5344284,0.1941354
10.59965,Left,Left_ThumbProximal,-0.04521222,-0.3115126,0.488757,0.4195609,0.07417532,0.4475945,0.7862097
10.59965,Left,Left_ThumbIntermediate,-0.06524494,-0.3057446,0.5172057,0.5867106,0.1515461,0.4291557,0.6697984
10.59965,Left,Left_ThumbDistal,-0.08357449,-0.3041422,0.5489117,0.5485702,0.1209223,0.4464532,0.6965113
10.59965,Left,Left_ThumbDistalEnd,-0.09798686,-0.304157,0.5746032,0.5485702,0.1209223,0.4464532,0.6965113
