Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
22.53496,Left,Wrist,-0.006019473,-0.3023909,0.3480385,0.7263513,0.5114956,0.08449998,0.4512713
22.53496,Left,Left_IndexProximal,0.08391748,-0.2961855,0.4002976,0.5901893,0.01559022,-0.4165392,0.6913241
22.53496,Left,Left_IndexIntermediate,0.1076163,-0.2979262,0.4323187,0.5992874,0.01383983,-0.4136615,0.6852355
22.53496,Left,Left_IndexDistal,0.1225257,-0.2994728,0.4530119,0.6384893,-0.00025516,-0.4253999,0.6413783
22.53496,Left,Left_IndexDistalEnd,0.1359465,-0.3038352,0.4731728,0.6384893,-0.00025516,-0.4253999,0.6413783
22.53496,Left,Left_MiddleProximal,0.06714334,-0.2936157,0.4165408,0.6200676,0.09099889,-0.4145517,0.6598351
22.53496,Left,Left_MiddleIntermediate,0.09692635,-0.2987007,0.4500659,0.6238368,0.08959586,-0.4112794,0.6585206
22.53496,Left,Left_MiddleDistal,0.1158533,-0.3020792,0.4717289,0.6537311,0.07797836,-0.4215493,0.6235794
22.53496,Left,Left_MiddleDistalEnd,0.1305075,-0.3069851,0.4892282,0.6537311,0.07797836,-0.4215493,0.6235794
22.53496,Left,Left_PinkyProximal,0.02910002,-0.3112451,0.4314687,0.6177095,0.2037212,-0.2951289,0.6998796
22.53496,Left,Left_PinkyIntermediate,0.05057146,-0.309221,0.455511,0.6702197,0.1887028,-0.2982809,0.6528594
22.53496,Left,Left_PinkyDistal,0.06428981,-0.3108511,0.4717946,0.6996436,0.1786012,-0.3133463,0.6167774
22.53496,Left,Left_PinkyDistalEnd,0.07607618,-0.3140989,0.4857047,0.6996436,0.1786012,-0.3133463,0.6167774
22.53496,Left,Left_RingProximal,0.04872795,-0.3006406,0.4260075,0.6353417,0.1538896,-0.3619047,0.6645932
22.53496,Left,Left_RingIntermediate,0.07646677,-0.3034804,0.4560635,0.6415735,0.1525375,-0.3647084,0.6573459
22.53496,Left,Left_RingDistal,0.09533076,-0.3059739,0.4765199,0.6743965,0.1388293,-0.378664,0.6184896
22.53496,Left,Left_RingDistalEnd,0.1090715,-0.3100899,0.4917994,0.6743965,0.1388293,-0.378664,0.6184896
22.53496,Left,Left_ThumbProximal,0.04415432,-0.3149857,0.3530768,-0.129574,-0.2298113,-0.6774751,0.6866038
22.53496,Left,Left_ThumbIntermediate,0.07701425,-0.3110501,0.3616307,0.06893639,-0.4229117,-0.6326702,0.6450753
22.53496,Left,Left_ThumbDistal,0.1070515,-0.3067935,0.3801214,-0.01648534,-0.3535957,-0.6318316,0.6895561
22.53496,Left,Left_ThumbDistalEnd,0.1330637,-0.3008714,0.3926144,-0.01648534,-0.3535957,-0.6318316,0.6895561
