Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
4.847,Right,Wrist,0.03031295,-0.1188,0.3931537,-0.8146828,0.1797249,-0.432435,0.3420402
4.847,Right,Right_IndexProximal,-0.00275825,-0.0380066,0.4555504,0.9395941,0.2093305,-0.2065032,-0.175216
4.847,Right,Right_IndexIntermediate,-0.01593833,-0.003064275,0.4726217,-0.9399447,-0.2038018,0.2045064,0.1820613
4.847,Right,Right_IndexDistal,-0.02405992,0.01931781,0.4838211,0.920084,0.2127187,-0.2131099,-0.2505616
4.847,Right,Right_IndexDistalEnd,-0.03106498,0.0386104,0.4973987,0.920084,0.2127187,-0.2131099,-0.2505616
4.847,Right,Right_MiddleProximal,0.02129624,-0.03572148,0.4543988,0.9119303,-0.01494584,-0.2373837,-0.3343787
4.847,Right,Right_MiddleIntermediate,0.0299409,0.0003408194,0.4824117,-0.9122247,0.020351,0.2364191,0.3339739
4.847,Right,Right_MiddleDistal,0.03575848,0.02348959,0.5002984,0.8889403,-0.01241089,-0.2223693,-0.4002295
4.847,Right,Right_MiddleDistalEnd,0.04042883,0.03934902,0.5167807,0.8889403,-0.01241089,-0.2223693,-0.4002295
4.847,Right,Right_PinkyProximal,0.06053692,-0.05902439,0.4586195,0.6048699,0.07289466,0.0838801,-0.7885323
4.847,Right,Right_PinkyIntermediate,0.05320461,-0.06747764,0.4899405,-0.07450137,-0.2308333,-0.2934393,0.9246941
4.847,Right,Right_PinkyDistal,0.04051446,-0.08543676,0.4899919,-0.3660007,0.3727605,0.3869691,-0.7598346
4.847,Right,Right_PinkyDistalEnd,0.03467736,-0.09344858,0.4743494,-0.3660007,0.3727605,0.3869691,-0.7598346
4.847,Right,Right_RingProximal,0.04184712,-0.04469544,0.45643,0.7249073,0.02329182,-0.06518587,-0.6853598
4.847,Right,Right_RingIntermediate,0.04419382,-0.04218358,0.4985092,-0.191753,-0.2177327,-0.1808551,0.9397421
4.847,Right,Right_RingDistal,0.03201189,-0.06695575,0.5066118,-0.2903178,0.316966,0.3051991,-0.849766
4.847,Right,Right_RingDistalEnd,0.02499792,-0.08047676,0.4922167,-0.2903178,0.316966,0.3051991,-0.849766
4.847,Right,Right_ThumbProximal,0.000607349,-0.09973222,0.4345009,0.3333074,0.6526584,-0.6803573,-0.007575419
4.847,Right,Right_ThumbIntermediate,-0.01196609,-0.0903098,0.4659998,-0.1199165,-0.4032496,0.8573808,0.2964942
4.847,Right,Right_ThumbDistal,0.000442639,-0.07572335,0.497174,-0.0528804,0.2832491,-0.828619,-0.4799633
4.847,Right,Right_ThumbDistalEnd,0.02475625,-0.06456465,0.5095075,-0.0528803,0.283249,-0.828619,-0.4799634
